method,file,phi,tp,fp,fn,f1,matched_iou,n_pred,n_gt
ours (watershed),SkBr3_Phase_G3_1_02d08h00m_4.tif,0.4542254804960597,376,37,24,0.9249692496924968,0.8732934553948583,413,400
ours (watershed),Huh7_Phase_A12_2_03d04h00m_1.tif,0.4594225633741279,38,60,69,0.3707317073170731,0.7223032292057867,98,107
ours (watershed),SKOV3_Phase_E4_2_00d16h00m_1.tif,0.4668090302666158,63,92,16,0.5384615384615384,0.7420016437185684,155,79
ours (watershed),MCF7_Phase_H4_1_02d04h00m_4.tif,0.4727780068564118,405,204,140,0.7019064124783362,0.7074957787440671,609,545
ours (watershed),MCF7_Phase_H4_2_02d00h00m_4.tif,0.4762265596317781,490,112,208,0.7538461538461538,0.7598459915594988,602,698
ours (watershed),SkBr3_Phase_G3_1_02d08h00m_2.tif,0.4783392948262718,379,48,27,0.9099639855942376,0.841372537025135,427,406
ours (watershed),BV2_Phase_A4_1_02d16h00m_4.tif,0.4813652485795532,997,329,389,0.7352507374631269,0.7914614578350123,1326,1386
ours (watershed),SKOV3_Phase_E4_1_01d04h00m_4.tif,0.4844538950502637,72,108,27,0.5161290322580645,0.7464867350120462,180,99
ours (watershed),SHSY5Y_Phase_A10_1_01d20h00m_4.tif,0.4897425954709503,261,187,255,0.5414937759336099,0.6711649593150701,448,516
ours (watershed),SkBr3_Phase_G3_1_03d00h00m_3.tif,0.4960537390734145,354,51,52,0.872996300863132,0.8679222352766351,405,406
ours (watershed),SKOV3_Phase_E4_1_00d20h00m_4.tif,0.4985569782561186,53,98,28,0.4568965517241379,0.7413528040315257,151,81
ours (watershed),A172_Phase_C7_1_01d08h00m_3.tif,0.5027165947334037,126,112,40,0.6237623762376238,0.7211776045136947,238,166
ours (watershed),A172_Phase_C7_2_01d00h00m_3.tif,0.5090381120246996,99,72,22,0.678082191780822,0.7394301573885927,171,121
ours (watershed),SHSY5Y_Phase_A10_2_02d16h00m_3.tif,0.5162545786440113,314,237,255,0.5607142857142857,0.6804262492887015,551,569
ours (watershed),SKOV3_Phase_F4_1_01d00h00m_2.tif,0.5206657349486425,72,122,35,0.4784053156146179,0.7401530767671733,194,107
ours (watershed),SHSY5Y_Phase_A10_1_02d12h00m_2.tif,0.5254306994372903,455,264,262,0.6337047353760445,0.6811763481168132,719,717
ours (watershed),SKOV3_Phase_E4_2_01d04h00m_2.tif,0.5345277313701963,101,95,32,0.6139817629179332,0.7620686146236638,196,133
