setting,file,phi,tp,fp,fn,f1,matched_iou
connected components,Huh7_Phase_A12_2_03d12h00m_2.tif,0.21787903368115863,8,12,32,0.26666666666666666,0.8032422794326597
detection-optimal,SkBr3_Phase_G3_2_01d00h00m_4.tif,0.21974408681162477,225,8,9,0.9635974304068522,0.9062117875771554
balanced,SkBr3_Phase_G3_2_01d00h00m_4.tif,0.21974408681162477,219,7,15,0.9521739130434783,0.9073078045927885
measurement-optimal,SkBr3_Phase_G3_2_01d00h00m_4.tif,0.21974408681162477,213,6,21,0.9403973509933775,0.9013750843142501
connected components,SkBr3_Phase_G3_2_01d00h00m_4.tif,0.21974408681162477,67,41,167,0.391812865497076,0.7951948690948315
detection-optimal,BT474_Phase_D3_1_01d12h00m_1.tif,0.22229736218858825,117,46,63,0.6822157434402333,0.7728168711269275
balanced,BT474_Phase_D3_1_01d12h00m_1.tif,0.22229736218858825,82,32,98,0.5578231292517006,0.7749379011408364
measurement-optimal,BT474_Phase_D3_1_01d12h00m_1.tif,0.22229736218858825,60,23,120,0.45627376425855515,0.7882750613360773
connected components,BT474_Phase_D3_1_01d12h00m_1.tif,0.22229736218858825,20,32,160,0.1724137931034483,0.8154721152917073
detection-optimal,Huh7_Phase_A12_1_03d12h00m_3.tif,0.2246206583260453,25,43,10,0.4854368932038835,0.7380435515454348
balanced,Huh7_Phase_A12_1_03d12h00m_3.tif,0.2246206583260453,19,30,16,0.4523809523809524,0.7438690473419158
measurement-optimal,Huh7_Phase_A12_1_03d12h00m_3.tif,0.2246206583260453,15,9,20,0.5084745762711864,0.7961966875247243
connected components,Huh7_Phase_A12_1_03d12h00m_3.tif,0.2246206583260453,14,11,21,0.4666666666666667,0.7977196013117703
detection-optimal,BV2_Phase_A4_2_01d16h00m_1.tif,0.229932476507868,485,90,51,0.873087308730873,0.8150545530341382
balanced,BV2_Phase_A4_2_01d16h00m_1.tif,0.229932476507868,475,86,61,0.8659981768459435,0.816406199769864
measurement-optimal,BV2_Phase_A4_2_01d16h00m_1.tif,0.229932476507868,400,88,136,0.78125,0.8168611499560273
connected components,BV2_Phase_A4_2_01d16h00m_1.tif,0.229932476507868,27,48,509,0.088379705400982,0.8200295628734032
detection-optimal,SkBr3_Phase_G3_1_01d00h00m_2.tif,0.23316393274694755,248,21,22,0.9202226345083488,0.8552237837198468
balanced,SkBr3_Phase_G3_1_01d00h00m_2.tif,0.23316393274694755,244,16,26,0.9207547169811321,0.8569921916828759
measurement-optimal,SkBr3_Phase_G3_1_01d00h00m_2.tif,0.23316393274694755,229,13,41,0.89453125,0.8546996254652646
connected components,SkBr3_Phase_G3_1_01d00h00m_2.tif,0.23316393274694755,48,48,222,0.26229508196721313,0.8508025918792921
detection-optimal,Huh7_Phase_A12_1_03d12h00m_4.tif,0.2366094393301972,38,36,11,0.6178861788617886,0.8057119826348955
